 Joaquin Phoenix 
 Joe Lando 
 Joe Pantiliano 
 Joe Penny 
 Joe Pesci 
 Joey Adams 
 Joey Lawrence 
 John Belushi  
 John Callahan 
 John Cleese 
 John Cusak 
 John Denver 
 John Garfield 
 John Goodman 
 John Hurt 
 John Lithgow 
 John Malkovic 
 John Pankov 
 John Tenney 
 John Thaw 
 John Travolta 
 John Wayne 
 Johnny Depp 
 Johnny Whitworth 
 Jon Lidstrom 
 Jon Stewart 
 Jon Voight 
 Jonathan Brandis 
 Jonathan Taylor Thomas 
 Jonathon Chaus 
 Jonathon Frakes 
 Jonathon Jackson 
 Jonathon Pryce 
 Jonathon Saech 
 Jonathon Silverman 
 Joseph Fiennes 
 Joseph Gian 
 Joseph Gordon-Levitt 
 Josh Charles 
 Joshua Jackson 
 Judd Hirsch 
 Keanu Reeves 
 Keith Hamilton Cobb 
 Kelsy Grammer 
 Kenneth Branagh 
 Kenny Hartfield 
 Keth Szarabajka 
 Kevin Anderson 
 Kevin Bacon 
 Kevin Costner 
 Kevin Elster 
 Kevin Kilner 
 Kevin Kline 
 Kevin Smith 
 Kevin Sorbo 
 Kevin Spacey 
 Kiefer Sutherland 
 Kirk Douglas 
 Kriss Kristopherson 
 Kristopher Milnes 
 Kurt Russel 
 Kurt Russell 
 Kyle Chandler 
 Kyle Secor 
 Lance Henriksen 
 Lara Fabian 
 Larenz Tate 
 Larry Fine 
 Laurence Fishburne 
 Lea Solunga 
 Lee J. Cobb 
 Lee Majors 
 Leon Lai 
 Leonard Nimoy 
 Leonardo Dicaprio 
 Leslie Nielson 
 Levar Burton 
 Liam Neeson 
 LL Cool J 
 Lon Chaney Jr. 
 Lorenzo Lamas 
 Lou Diamond Phillips 
 Lou Gossett Jr. 
 Luke Perry 
 MacKenzie Astin 
 Malcolm McDowell 
 Mandy Patinkin 
 Marcus Testory 
 Mario Lopez 
 Mark Dacascos 
 Mark Frankel 
 Mark Hamill 
 Mark Harmon 
 Mark Paul Gosselar 
 Mark Wahlberg 
 Marlon Brando 
 Marlon Wayons 
 Marques Houston 
 Martin Donovan 
 Martin Landau 
 Martin Lawrence 
 Martin Sheen 
 Martin Short 
 Marty Belafsky 
 Marty Feldman 
 Mathew Lillard 
 Matt Damon 
 Matt Dillon 
 Matt Le Blanc 
 Matthew Broderick 
 Matthew Ferguson 
 Matthew Lawrence 
 Matthew McConaughey 
 Matthew Modine 
 Matthew Perry 
 Matthew Porretta 
 Maurice Benard 
 Max Casella 
 McCaulay Culkin 
 McKenzie Astin 
 Mehki Phifer 
 Mel Brooks 
 Mel Gibson 
 Michael Beck 
 Michael Bergin 
 Michael Biehn 
 Michael Crawford 
 Michael DeLuise 
 Michael Dorn 
 Michael Douglas 
 Michael Dudikoff 
 Michael Gross 
 Michael Hurst 
 Michael J. Fox 
 Michael Keaton 
 Michael Madsen 
 Michael Maloney 
 Michael McShane 
 Michael Newman 
 Michael Pare 
 Michael Rapaport 
 Michael Richards  
 Michael Shanks 
 Michael T. Weiss 
 Michael Wincott 
 Mickey Rourke 
 Mike Myers 
 Moe Howard 
 Montgomery Clift 
 Mooky Arizona 
 Morgan Freeman 
 Myles Ferguson 
 Nathan Lane 
 Nicholas Brendan 
 Nicholas Lea 
 Nicolas Cage 
 Noah Wyle 
 Paolo Montalban 
 Parker Stevenson 
 Patrick Bauchau 
 Patrick McNee 
 Patrick Stewart 
 Patrick Swayze 
 Paudge Behan 
 Paul Gosselar 
 Paul Gross 
 Paul Johansson 
 Paul Newman 
