Paul Newman
Ben Kingsley
Dustin Hoffman
Jack Lemmon
Paul Newman
Peter O'Toole
Robert Duvall
Michael Caine
Tom Conti
Tom Courtenay
Albert Finney
F. Murray Abraham
Jeff Bridges
Albert Finney
Tom Hulce
Sam Waterston
William Hurt
Harrison Ford
James Garner
Jack Nicholson
Jon Voight
Paul Newman
Dexter Gordon
Bob Hoskins
William Hurt
James Woods
Michael Douglas
William Hurt
Marcello Mastroianni
Jack Nicholson
Robin Williams
Dustin Hoffman
Gene Hackman
Tom Hanks
Edward James Olmos
Max von Sydow
Daniel Day
Kenneth Branagh
Tom Cruise
Morgan Freeman
Robin Williams
Jeremy Irons
Kevin Costner
Robert De Niro
Gérard Depardieu
Richard Harris
Anthony Hopkins
Warren Beatty
Robert De Niro
Nick Nolte
Robin Williams
Al Pacino
Robert Downey, Jr.
Clint Eastwood
Stephen Rea
Denzel Washington
Tom Hanks
Daniel Day
Laurence Fishburne
Anthony Hopkins
Liam Neeson
Tom Hanks
Morgan Freeman
Nigel Hawthorne
Paul Newman
John Travolta
Nicolas Cage
Richard Dreyfuss
Anthony Hopkins
Sean Penn
Massimo Troisi
Geoffrey Rush
Tom Cruise
Ralph Fiennes
Woody Harrelson
Billy Bob Thornton
Jack Nicholson
Matt Damon
Robert Duvall
Peter Fonda
Dustin Hoffman
Roberto Benigni
Tom Hanks
Ian McKellen
Nick Nolte
Edward Norton
Kevin Spacey
Russell Crowe
Richard Farnsworth
Sean Penn
Denzel Washington
Russell Crowe
Javier Bardem
Tom Hanks
Ed Harris
Geoffrey Rush
Denzel Washington
Russell Crowe
Sean Penn
Will Smith
Tom Wilkinson
Adrien Brody
Nicolas Cage
Michael Caine
Daniel Day
Jack Nicholson
Sean Penn
Johnny Depp
Ben Kingsley
Jude Law
Bill Murray
Jamie Foxx
Don Cheadle
Johnny Depp
Leonardo DiCaprio
Clint Eastwood
Philip Seymour Hoffman
Terrence Howard
Heath Ledger
Joaquin Phoenix
David Strathairn
Forest Whitaker
Leonardo DiCaprio
Ryan Gosling
Peter O'Toole
Will Smith
Daniel Day
George Clooney
Johnny Depp
Tommy Lee Jones
Viggo Mortensen
Sean Penn
Richard Jenkins
Frank Langella
Brad Pitt
Mickey Rourke
Jeff Bridges
George Clooney
Colin Firth
Morgan Freeman
Jeremy Renner
Bette Davis
Elisabeth Bergner
Claudette Colbert
Katharine Hepburn
Miriam Hopkins
Merle Oberon
Luise Rainer
Irene Dunne
Gladys George
Carole Lombard
Norma Shearer
Luise Rainer
Irene Dunne
Greta Garbo
Janet Gaynor
Barbara Stanwyck
Bette Davis
Fay Bainter
Wendy Hiller
Norma Shearer
Margaret Sullavan
Vivien Leigh
Bette Davis
Irene Dunne
Greta Garbo
Greer Garson
Ginger Rogers
Bette Davis
Joan Fontaine
Katharine Hepburn
Martha Scott
Joan Fontaine
Bette Davis
Olivia de Havilland
Greer Garson
Barbara Stanwyck
Greer Garson
Bette Davis
Katharine Hepburn
Rosalind Russell
Teresa Wright
Jennifer Jones
Jean Arthur
Ingrid Bergman
Joan Fontaine
Greer Garson
Ingrid Bergman
Claudette Colbert
Bette Davis
Greer Garson
Barbara Stanwyck
Joan Crawford
Ingrid Bergman
Greer Garson
Jennifer Jones
Gene Tierney
Olivia de Havilland
Celia Johnson
Jennifer Jones
Rosalind Russell
Jane Wyman
Loretta Young
Joan Crawford
Susan Hayward
Dorothy McGuire
Rosalind Russell
Jane Wyman
Ingrid Bergman
Olivia de Havilland
Irene Dunne
Barbara Stanwyck
Olivia de Havilland
Jeanne Crain
Susan Hayward
Deborah Kerr
Loretta Young
Judy Holliday
Anne Baxter
Bette Davis
Eleanor Parker
Gloria Swanson
Vivien Leigh
Katharine Hepburn
Eleanor Parker
Shelley Winters
Jane Wyman
Shirley Booth
Joan Crawford
Bette Davis
Julie Harris
Susan Hayward
Audrey Hepburn
Leslie Caron
Ava Gardner
Deborah Kerr
Maggie McNamara
Grace Kelly
Dorothy Dandridge
Judy Garland
Audrey Hepburn
Jane Wyman
Anna Magnani
Susan Hayward
Katharine Hepburn
Jennifer Jones
Eleanor Parker
Ingrid Bergman
Carroll Baker
Katharine Hepburn
Nancy Kelly
Deborah Kerr
Joanne Woodward
Deborah Kerr
Anna Magnani
Elizabeth Taylor
Lana Turner
Susan Hayward
Deborah Kerr
Shirley MacLaine
Rosalind Russell
Elizabeth Taylor
Simone Signoret
Doris Day
Audrey Hepburn
Katharine Hepburn
Elizabeth Taylor
Elizabeth Taylor
Greer Garson
Deborah Kerr
Shirley MacLaine
Melina Mercouri
Sophia Loren
Audrey Hepburn
Piper Laurie
Geraldine Page
Natalie Wood
Anne Bancroft
Bette Davis
Katharine Hepburn
Geraldine Page
Lee Remick
Patricia Neal
Leslie Caron
Shirley MacLaine
Rachel Roberts
Natalie Wood
Julie Andrews
Anne Bancroft
Sophia Loren
Debbie Reynolds
Kim Stanley
Julie Christie
Julie Andrews
Samantha Eggar
Elizabeth Hartman
Simone Signoret
Elizabeth Taylor
Anouk Aimée
Ida Kaminska
Lynn Redgrave
Vanessa Redgrave
Katharine Hepburn
Anne Bancroft
Faye Dunaway
Edith Evans
Audrey Hepburn
Maggie Smith
Geneviève Bujold
Jane Fonda
Liza Minnelli
Jean Simmons
Glenda Jackson
Jane Alexander
Ali MacGraw
Sarah Miles
Carrie Snodgress
Jane Fonda
Julie Christie
Glenda Jackson
Vanessa Redgrave
Janet Suzman
Liza Minnelli
Diana Ross
Maggie Smith
Cicely Tyson
Liv Ullmann
Glenda Jackson
Ellen Burstyn
Marsha Mason
Barbra Streisand
Joanne Woodward
Ellen Burstyn
Diahann Carroll
Faye Dunaway
Valerie Perrine
Gena Rowlands
Louise Fletcher
